REPASSE DE MANUTENÇÃO;;;;;;;;;
;;DIRETORIA REGIONAL BAIXADAS LITORÂNEAS;;;;;;;
ITEM;código;ARARUAMA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
2;33053952;CE Domício Gama;01.176.052/0001-86;2143 - 0000191426; R$ 6.462,80 ;2021NE01373;2021NL01471;2021PD01860;2021LB17913
3;33054177;CE Doutor João Gomes de Mattos Sobrinho;01.131.075/0001-74;2143 - 0000191418; R$ 9.264,80 ;2021NE01373;2021NL01471;2021PD01860;2021LB17913
4;33053910;CE Elisiário Matta;00.986.719/0001-43;2143 - 0000191477; R$ 24.610,80 ;2021NE01373;2021NL01471;2021PD01860;2021LB17913
5;33054215;CE Euclydes Paulo da Silva;00.927.725/0001-20;2143 - 0000191302; R$ 4.954,60 ;2021NE01373;2021NL01471;2021PD01860;2021LB17913
6;33054339;CE Francisco José do Nascimento;01.124.861/0001-44;2143 - 0000191507; R$ 3.281,60 ;2021NE01373;2021NL01471;2021PD01860;2021LB17913
7;33053995;EE Professora Cacilda Silva;00.915.644/0001-00;2143 - 0000191523; R$ 3.125,20 ;2021NE01373;2021NL01471;2021PD01860;2021LB17913
8;33102414;CIEP 259 Professora Mª do Amparo R.de Souza;00.879.954/0001-16;2143 - 0000191485; R$ 14.927,00 ;2021NE01373;2021NL01471;2021PD01860;2021LB17913
9;33096929;CIEP 391 Professor Robson Mendonça Lau;00.924.463/0001-40;2143 - 0000191566; R$ 10.769,20 ;2021NE01373;2021NL01471;2021PD01860;2021LB17913
10;33183562;CE PROFESSOR DARCY RIBEIRO;0;0; R$ 5.403,40 ;2021NE01378;2021NL01473;2021PD01861;IMPEDIDA
10;;MARICÁ;;; R$ 88.610,60 ;;;;
ITEM;código;NITERÓI;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33057737;CE Almirante Tamandaré;00.995.273/0001-13;2187 - 0000212210; R$ 9.549,60 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
2;33055610;CE Aurelino Leal;29.564.572/0001-85;2376 - 0000150312; R$ 21.151,80 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
3;33055629;CE Baltazar Bernardino;30.170.542/0001-73;2510 - 0000180319; R$ 12.344,00 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
4;33055637;CE Brigadeiro Castrioto;29.562.592/0001-17;3500 - 0000277509; R$ 6.645,60 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
5;33055645;CE Cizínio Soares Pinto;02.782.645/0001-59;6566 - 0000005185; R$ 11.045,20 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
6;33056358;CE Conselheiro Josino;00.784.387/0001-14;2809 - 0000300187; R$ 4.480,00 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
7;33055653;CE Conselheiro Macedo Soares;27.763.929/0001-29;3500 - 0005551005; R$ 19.852,60 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
8;33102503;CE David Capistrano;02.699.750/0001-29;2809 - 0000178985; R$ 7.930,80 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
9;33055661;CE Doutor Luciano Pestre;30.343.982/0001-85;2809 - 0000300160; R$ 6.890,60 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
10;33057745;CE Doutor Souza Soares;02.637.886/0001-04;0541 - 0000833134; R$ 3.400,00 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
11;33056404;CE Duque de Caxias;01.439.057/0001-54;6566 - 0000005070; R$ 3.681,60 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
12;33056439;CE Embaixador Raul Fernandes;01.011.740/0001-96;2809 - 0000300101; R$ 3.773,60 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
13;33055670;CE Fernando Magalhães;27.773.043/0001-66;0309 - 0002019140; R$ 8.178,40 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
14;33055696;CE Guilherme Briggs;00.781.148/0001-00;2807 - 0000201030; R$ 8.709,20 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
15;33055700;CE Hilário Ribeiro;00.631.909/0001-48;2809 - 0000178977; R$ 7.691,20 ;2021NE01579;2021NL01522;2021PD01862;2021LB17914
