REPASSE DE MANUTENÇÃO;;;;;;;;;
;;DIRETORIA REGIONAL BAIXADAS LITORÂNEAS;;;;;;;
ITEM;código;ARARUAMA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
2;33039593;CE Centenário ;00.872.105/0001-30;1632 - 000014410P; R$ 4.602,80 ;2021NE01468;2021NL01502;2021PD01837;2021LB17944
3;33039569;CE Ministro Raul Fernandes;00.793.617/0001-01;1632 - 0000144045; R$ 10.629,80 ;2021NE01468;2021NL01502;2021PD01837;2021LB17944
4;33093601;CIEP 297 Padre Salésio Schimidt;01.049.917/0001-43;1632 - 0000144118; R$ 15.301,40 ;2021NE01468;2021NL01502;2021PD01837;2021LB17944
5;33097224;IE THIAGO COSTA;01.005.871/0001-60;0; R$ 4.838,00 ;2021NE01473;2021NL01503;2021PD01838;IMPEDIDA
5;;VASSOURAS;;; R$ 39.921,00 ;;;;
48;;TOTAL DA REGIONAL CENTRO SUL;;; R$ 314.531,20 ;;;;
;;DIRETORIA REGIONAL DIESP;;;;;;;
ITEM;código;BELFORD ROXO;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33131422;CE Jornalista Barbosa Lima Sobrinho   DIESP;09.324.175/0001-29;2079 - 0000424617; R$ 2.256,40 ;2021NE01520;2021NL01390;2021PD01757;
1;;BELFORD ROXO;;; R$ 2.256,40 ;;;;
ITEM;código;CAMPOS DOS GOYTACAZES;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33170223;CE Rui Barbosa DIESP;23.540.224/0001-91;6760 - 49581; R$ 1.700,00 ;2021NE01510;2021NL01380;2021PD01740;2021LB17986
2;33170231;CE Theodoro Sampaio DIESP;23.643.669/0001-05;6760 - 51357; R$ 1.700,00 ;2021NE01510;2021NL01380;2021PD01740;2021LB17986
2;;CAMPOS DOS GOYTACAZES;;; R$ 3.400,00 ;;;;
ITEM;código;JAPERI;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33166366;CE Carlos Pereira Guimarães DIESP;20.690.261/0001-98;2362 - 0000121479; R$ 9.746,60 ;2021NE01521;2021NL01391;2021PD01759;
1;;JAPERI;;; R$ 9.746,60 ;;;;
ITEM;código;NITERÓI;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33172358;CE Marinheiro João Candido DIESP;22.887.032/0001-93;2809 - 0000223964; R$ 1.700,00 ;2021NE01522;2021NL01392;2021PD01760;
1;;NITERÓI;;; R$ 1.700,00 ;;;;
ITEM;código;NOVA FRIBURGO;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33136670;CE Gildo Candido da Silva DIESP   ;14.661.644/0001-35;1332 - 00079413; R$ 1.700,00 ;2021NE01523;2021NL01393;2021PD01761;
1;;NOVA FRIBURGO;;; R$ 1.700,00 ;;;;
ITEM;código;RIO DE JANEIRO;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33066124;CE Anacleto de Medeiros DIESP   ;02.824.588/0001-23;0279 - 0001814303; R$ 3.078,00 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
2;33079633;CE Angenor de Oliveira Cartola DIESP;15.427.557/0001-80;2049 - 0000078301; R$ 2.541,80 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
3;33111707;CE Candeia DIESP;19.031.690/0001-74;1699 - 1301497; R$ 1.700,00 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
4;33340200;CE Escritor e Jornalista Graciliano Ramos   DIESP;13.786.233/0001-03;2049 - 0068772; R$ 1.721,40 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
5;33153060;CE Evandro João da Silva DIESP;14.798.881/0001-42;2049 - 0000074942; R$ 1.732,80 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
6;33079838;CE Henrique de Souza Filho HENFIL   DIESP;16.695.798/0001-73;2049 - 0000086819; R$ 2.575,20 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
7;33146160;CE José Lewgoy DIESP;23.634.936/0001-70;2049 - 471836; R$ 1.700,00 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
8;33111626;CE Luiza Mahim DIESP;19.951.036/0001-89;3184 - 0000029351; R$ 1.700,00 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
9;33170215;CE Maria Montessori DIESP;22.341.037/0001-16;0955 - 0000097551; R$ 1.700,00 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
10;33170193;CE Mário Lago DIESP;22.417.452/0001-06;0955 - 0000097527; R$ 1.700,00 ;2021NE01524;2021NL01394;2021PD01762;IMPEDIDA
11;33063044;CE Mário Quintana  DIESP;02.786.248/0001-55;2049 - 0000068861; R$ 5.551,40 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
12;33337217;CE Padre Bruno Trombetta DIESP;13.127.826/0001-68;2049 - 0069043; R$ 2.975,40 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
13;33124620;CE Padre Carlos Leôncio da Silva DIESP;16.986.316/0001-34;1699 - 1301489; R$ 2.142,80 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
14;33228809;CE Primeiro Tenente PM Hailton dos Santos DIESP;20.529.782/0001-68;2049 - 471704; R$ 1.824,00 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
15;33136467;CE Professor Carlos Costa DIESP;14.235.405/0001-13;2049 - 0000068888; R$ 2.622,00 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
16;33136491;CE Professora Alda Lins Freire DIESP;10.359.906/0001-50;2049 - 0000069035; R$ 2.530,80 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
17;33136521;CE Professora Sonia Maria Menezes Soares DIESP;15.839.759/0001-30;2049 - 0000080209; R$ 1.700,00 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
18;33079935;CE Roberto Burle Marx DIESP;13.609.491/0001-14;1107 - 0000054224; R$ 2.211,60 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
19;33063060;CE Rubem Braga DIESP;02.898.172/0001-50;2049 - 0000068926; R$ 1.700,00 ;2021NE01511;2021NL01381;2021PD01741;2021LB17987
19;;RIO DE JANEIRO;;; R$ 43.407,20 ;;;;
ITEM;código;VOLTA REDONDA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33170240;CE Irmã Terezinha de Barros DIESP   ;23.432.323/0001-50;1339 - 36560; R$ 1.700,00 ;2021NE01536;2021NL01411;2021PD01774;
1;;VOLTA REDONDA;;; R$ 1.700,00 ;;;;
26;;TOTAL DA REGIONAL DIESP;;; R$ 63.910,20 ;;;;
;;DIRETORIA REGIONAL MÉDIO PARAÍBA;;;;;;;
ITEM;código; ANGRA DOS REIS;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33037027;CE Antônio Dias Lima;00.755.855/0001-22;0459 - 0000902357; R$ 12.421,00 ;2021NE01539;2021NL01477;2021PD01863;2021LB17918
2;33125449;CE Brigadeiro Nóbrega;23.142.483/0001-64;6893 - 0000070718; R$ 1.700,00 ;2021NE01540;2021NL01480;2021PD01864;IMPEDIDA
3;33036691;CE Conde Pereira Carneiro ;00.702.085/0001-50;6682 - 0000021555; R$ 6.981,00 ;2021NE01539;2021NL01477;2021PD01863;2021LB17918
4;33036640;CE Doutor Artur Vargas;00.647.282/0001-13;0459 - 0000824704; R$ 25.153,40 ;2021NE01539;2021NL01477;2021PD01863;2021LB17918
5;33036713;CE Honório Lima;00.664.767/0001-15;6682 - 0000021245; R$ 9.250,20 ;2021NE01539;2021NL01477;2021PD01863;2021LB17918
6;33037230;CE Leopoldo Américo M.de Mello;00.656.820/0001-36;6682 - 0000021512; R$ 7.167,00 ;2021NE01539;2021NL01477;2021PD01863;2021LB17918
7;33036594;CE Nazira Salomão;00.702.091/0001-07;0459 - 0000814326; R$ 17.676,00 ;2021NE01539;2021NL01477;2021PD01863;2021LB17918
8;33135860;CE Pedro Soares;27.357.785/0001-00;6682 - 79510; R$ 1.700,00 ;2021NE01539;2021NL01477;2021PD01863;2021LB17918
9;33037337;CE Roberto Montenegro;00.664.766/0001-70;0459 - 0000850004; R$ 13.034,80 ;2021NE01539;2021NL01477;2021PD01863;2021LB17918
10;33036632;CIEP 055 João Gregório Galindo;00.755.799/0001-26;6682 - 0000021571; R$ 8.108,80 ;2021NE01539;2021NL01477;2021PD01863;2021LB17918
11;33098077;CIEP 302 Charles Dickens;00.757.356/0001-74;6682 - 0000021717; R$ 14.664,80 ;2021NE01539;2021NL01477;2021PD01863;2021LB17918
12;33098085;CIEP 495 Guinard;00.755.722/0001-56;6682 - 0000021628; R$ 13.020,80 ;2021NE01539;2021NL01477;2021PD01863;2021LB17918
13;33098018;"EIE Guarani Karai Kuery Renda (Escola Guarani Guyraitaipu;Escola Guarani Tava Mirim;Escola Guarani Kiringue Yvotyty)";21.384.083/0001-30;0459 - 0000019127; R$ 8.791,20 ;2021NE01539;2021NL01477;2021PD01863;2021LB17918
13;; ANGRA DOS REIS;;; R$ 139.669,00 ;;;;
ITEM;código;BARRA MANSA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33029342;CE Baldomero Barbará;00.766.837/0001-46;0434 - 0000801402; R$ 19.833,80 ;2021NE01426;2021NL01422;2021PD01780;2021LB17919
2;33029369;CE Barão Aiuruoca;39.207.865/0001-69;0434 - 0000800104; R$ 22.741,60 ;2021NE01426;2021NL01422;2021PD01780;2021LB17919
3;33029377;CE Boa Vista;00.779.141/0001-54;0434 - 0000801305; R$ 6.782,40 ;2021NE01426;2021NL01422;2021PD01780;2021LB17919
4;33029385;CE Comendador Pereira Ignácio;00.824.173/0001-24;2287 - 0000021717; R$ 2.293,60 ;2021NE01426;2021NL01422;2021PD01780;2021LB17919
5;33029407;CE Iracema Leite Nader;00.764.406/0001-40;0434 - 0000801550; R$ 2.349,40 ;2021NE01426;2021NL01422;2021PD01780;2021LB17919
6;33029660;CE Jayme Silvestre de Camargo;00.764.410/0001-09;0434 - 0000801259; R$ 5.642,00 ;2021NE01426;2021NL01422;2021PD01780;2021LB17919
7;33029679;CE Luiz Gonzaga de Mattos;00.768.397/0001-66;0434 - 0000801356; R$ 5.284,20 ;2021NE01426;2021NL01422;2021PD01780;2021LB17919
8;33030286;CE Marechal Floriano Peixoto ;00.768.398/0001-00;1002 - 0000179213; R$ 5.141,20 ;2021NE01426;2021NL01422;2021PD01780;2021LB17919
9;33030359;CE Nossa Senhora do Amparo;00.764.425/0001-77;0434 - 0000801208; R$ 1.700,00 ;2021NE01426;2021NL01422;2021PD01780;2021LB17919
10;33030189;CE Roselândia ;00.768.396/0001-11;0434 - 0000800120; R$ 5.253,00 ;2021NE01434;2021NL01423;2021PD01781;IMPEDIDA
11;33029717;CE São Pedro;00.805.892/0001-06;0434 - 0000801453; R$ 5.804,40 ;2021NE01426;2021NL01422;2021PD01780;2021LB17919
12;33030170;CE Vila Maria;00.769.095/0001-02;0434 - 0000801151; R$ 5.736,60 ;2021NE01426;2021NL01422;2021PD01780;2021LB17919
13;33096880;CIEP 292 Professora Jandyra Reis Oliveira;00.756.257/0001-78;2287 - 0000021164; R$ 8.299,20 ;2021NE01426;2021NL01422;2021PD01780;2021LB17919
14;33096864;CIEP 485 Professor João Batista de Barros;00.776.384/0001-39;2287 - 0000022195; R$ 5.970,40 ;2021NE01426;2021NL01422;2021PD01780;2021LB17919
15;33096830;CIEP 486 Professor Luiz Vallejo;00.779.122/0001-28;2287 - 21725; R$ 6.048,40 ;2021NE01426;2021NL01422;2021PD01780;2021LB17919
16;33096856;CIEP 493 Professora Antonieta Salinas de Castro;00.764.417/0001-20;0434 - 0000801410; R$ 10.642,40 ;2021NE01426;2021NL01422;2021PD01780;2021LB17919
16;;BARRA MANSA;;; R$ 119.522,60 ;;;;
ITEM;código;ITATIAIA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33030456;CIEP 488 Ezequiel Freire;00.775.897/0001-25;6778 - 0000001317; R$ 15.213,60 ;2021NE01538;2021NL01474;2021PD01854;
1;;ITATIAIA;;; R$ 15.213,60 ;;;;
ITEM;código;MANGARATIBA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33166412;CE Caetano Oliveira ;23.791.519/0001-30;1542 - 204927; R$ 3.499,60 ;2021NE01503;2021NL01476;2021PD01856;2021LB17920
2;33170169;CE Hermínia de Oliveira Mattos ;27.128.912/0001-08;0886 - 190616; R$ 2.802,80 ;2021NE01503;2021NL01476;2021PD01856;2021LB17920
3;33045844;CE João Paulo II;00.618.483/0001-92;0886 - 0000088404; R$ 13.629,00 ;2021NE01503;2021NL01476;2021PD01856;2021LB17920
4;33046174;CE Montebello Bondim ;00.753.687/0001-36;0886 - 0000088412; R$ 5.446,00 ;2021NE01503;2021NL01476;2021PD01856;2021LB17920
4;;MANGARATIBA;;; R$ 25.377,40 ;;;;
ITEM;código;PARATY;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33037965;CE Almirante Alvaro Alberto;00.755.810/0001-58;1645 - 0000174424; R$ 13.584,60 ;2021NE01504;2021NL01484;2021PD01859;2021LB17921
2;33037523;CE Engenheiro Mário Moura Brasil do Amaral;00.755.808/0001-89;1645 - 0000174467; R$ 13.822,20 ;2021NE01504;2021NL01484;2021PD01859;2021LB17921
3;33037515;CIEP 999 Dom Pedro de Alcântara de Bragança I Imperador do Brasil;00.773.006/0001-00;1645 - 0000174475; R$ 13.056,80 ;2021NE01504;2021NL01484;2021PD01859;2021LB17921
3;;PARATY;;; R$ 40.463,60 ;;;;
ITEM;código;PINHEIRAL;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33097941;CE Célio Barbosa Anchite;01.584.636/0001-90;6797 - 0000000280; R$ 5.575,20 ;2021NE01541;2021NL01482;2021PD01865;2021LB17922
2;33030987;CIEP 291 Dom Martinho Schlude;00.767.990/0001-98;6797 - 0000000191; R$ 12.697,00 ;2021NE01541;2021NL01482;2021PD01865;2021LB17922
2;;PINHEIRAL;;; R$ 18.272,20 ;;;;
ITEM;código;PIRAÍ;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33030626;CE Affonsina Mazzillo T.Campos;29.450.673/0001-25;6798 - 0000000370; R$ 9.789,40 ;2021NE01542;2021NL01486;2021PD01866;2021LB17923
2;33031142;CE Coronel Camisão;00.941.014/0001-00;6798 - 0000000388; R$ 4.650,80 ;2021NE01542;2021NL01486;2021PD01866;2021LB17923
3;33030901;CE Octávio Teixeira Campos;01.922.497/0001-68;6798 - 0000000353; R$ 5.606,40 ;2021NE01542;2021NL01486;2021PD01866;2021LB17923
3;;PIRAÍ;;; R$ 20.046,60 ;;;;
ITEM;código;PORTO REAL;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33032130;CE República Italiana;01.101.545/0001-57;1002 - 0000179299; R$ 7.323,80 ;2021NE01421;2021NL01483;2021PD01807;
1;;PORTO REAL;;; R$ 7.323,80 ;;;;
ITEM;código;QUATIS;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33031185;CE Américo Pimenta;00.764.603/0001-60;6800 - 0000001082; R$ 8.233,60 ;2021NE01423;2021NL01485;2021PD01808;
1;;QUATIS;;; R$ 8.233,60 ;;;;
ITEM;código;RESENDE;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33031711;CE Anibal Benévolo;30.432.231/0001-35;0539 - 0000882763; R$ 3.800,00 ;2021NE01429;2021NL01487;2021PD01809;2021LB17929
2;33031380;CE Antonina Ramos Freire;00.781.777/0001-30;1317 - 0000022640; R$ 9.364,60 ;2021NE01429;2021NL01487;2021PD01809;2021LB17929
3;33115001;CE Antônio Quirino ;01.152.835/0001-20;0539 - 0000883182; R$ 6.074,80 ;2021NE01429;2021NL01487;2021PD01809;2021LB17929
4;33031479;CE Doutor João Maia;00.741.390/0001-50;0539 - 0000883204; R$ 6.171,60 ;2021NE01429;2021NL01487;2021PD01809;2021LB17929
5;33031843;CE Engenheiro Passos;00.774.274/0001-38;0539 - 0000882801; R$ 4.190,80 ;2021NE01429;2021NL01487;2021PD01809;2021LB17929
6;33031428;CE Marechal Souza Dantas;29.827.235/0001-33;0539 - 0000883263; R$ 12.318,80 ;2021NE01429;2021NL01487;2021PD01809;2021LB17929
7;33031720;CE Olavo Bilac;30.432.249/0001-37;0539 - 0000883417; R$ 14.367,40 ;2021NE01429;2021NL01487;2021PD01809;2021LB17929
8;33031509;CE Oliveira Botelho;30.432.421/0001-52;0539 - 0000882771; R$ 12.691,60 ;2021NE01429;2021NL01487;2021PD01809;2021LB17929
9;33031401;CE Pedro Braile Neto;30.431.902/0001-43;1317 - 0000022608; R$ 11.924,80 ;2021NE01429;2021NL01487;2021PD01809;2021LB17929
10;33031738;CE Professor José Medeiros de Camargo;00.635.943/0001-90;0539 - 0000883433; R$ 7.375,00 ;2021NE01429;2021NL01487;2021PD01809;2021LB17929
11;33097798;CIEP 347 DoutorJorge Miguel Jayme;00.781.008/0001-32;0539 - 0000883220; R$ 10.273,40 ;2021NE01429;2021NL01487;2021PD01809;2021LB17929
11;;RESENDE;;; R$ 98.552,80 ;;;;
ITEM;código;RIO CLARO;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33032459;CE Alfredo Pujol;00.783.979/0001-11;6815 - 0000001384; R$ 3.400,00 ;2021NE01436;2021NL01489;2021PD01810;2021LB17930
2;33032220;CE Fagundes Varela;00.779.127/0001-50;6815 - 0000001201; R$ 8.614,40 ;2021NE01436;2021NL01489;2021PD01810;2021LB17930
3;33032360;CEIP 296 Presidente Benes ;00.764.414/0001-97;6815 - 0000001228; R$ 10.400,40 ;2021NE01436;2021NL01489;2021PD01810;2021LB17930
3;;RIO CLARO;;; R$ 22.414,80 ;;;;
ITEM;código;VOLTA REDONDA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33032998;CE Acácia Amarela;00.890.516/0001-59;0431 - 0001115510; R$ 3.400,00 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
2;33032793;CE Barão de Mauá ;00.754.993/0001-97;1592 - 00035122; R$ 7.388,20 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
3;33033030;CE Brasília;02.645.528/0001-43;1592 - 0000037877; R$ 4.698,60 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
4;33156883;CE Gecy Vieira Gonçalves;13.378.886/0001-53;0431 - 0001115952; R$ 1.700,00 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
5;33033056;CE Guanabara;00.950.320/0001-02;1592 - 0000035700; R$ 6.713,20 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
6;33033099;CE Niterói ;02.715.161/0001-97;0431 - 0001110985; R$ 3.600,00 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
7;33033110;CE Pedro Raymundo de Magalhães;01.319.882/0001-15;0431 - 0001115910; R$ 3.405,60 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
8;33032807;CE Piauí;01.139.531/0001-22;0431 - 0001111035; R$ 3.694,80 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
9;33032815;CE Prefeito Franciso Fontes Torres;00.932.767/0001-59;0431 - 0001115537; R$ 4.716,00 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
10;33033129;CE Presidente Roosevelt ;29.294.659/0001-80;1339 - 0000202983; R$ 7.956,60 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
11;33032823;CE Rio de Janeiro ;00.736.220/0001-88;0431 - 0001115936; R$ 4.079,20 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
12;33033145;CE Rio Grande do Norte;01.434.957/0001-09;1339 - 0000203653; R$ 8.139,80 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
13;33033170;CE Rio Grande do Sul;00.779.130/0001-74;0431 - 0001110926; R$ 8.250,40 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
14;33033188;CE Rondônia;02.755.135/0001-92;0431 - 0001115804; R$ 3.600,00 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
15;33033196;CE Rotary;01.922.296/0001-60;0431 - 0001115987; R$ 1.700,00 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
16;33032939;CE Santos Dumont;02.206.422/0001-43;1592 - 00035149; R$ 6.298,40 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
17;33033200;CE São Paulo;01.799.119/0001-39;0431 - 0001110942; R$ 1.700,00 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
18;33032734;CIEP 053 Doutor Nelson dos S. Gonçalves ;00.808.073/0001-04;0431 - 0001116002; R$ 7.416,60 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
19;33156999;CIEP 293 Walmir de Freitas Monteiro;11.206.868/0001-69;0431 - 0001111051; R$ 5.200,00 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
20;33032742;CIEP 295 Professora Glória Roussin Glória Roussin Guedes Pinto ;00.784.343/0001-94;2806 - 0000195103; R$ 18.284,00 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
21;33032718;CIEP 299 Júlio Caruzo;01.052.144/0001-54;0431 - 0001111019; R$ 6.063,20 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
22;33033978;CIEP 484 Toninho Marques;00.783.976/0001-88;0431 - 0001110969; R$ 4.713,00 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
23;33117675;CIESP Diogo Levenhagem;09.291.704/0001-35;0431 - 0001115812; R$ 2.700,00 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
24;33033994;IE professor Manuel Marinho;00.826.778/0001-54;1339 - 0000202991; R$ 23.782,60 ;2021NE01439;2021NL01490;2021PD01811;2021LB17931
24;;VOLTA REDONDA;;; R$ 149.200,20 ;;;;
82;;TOTAL DA REGIONAL MÉDIO PARAÍBA;;; R$ 664.290,20 ;;;;
;;DIRETORIA REGIONAL METROPOLITANA I;;;;;;;
ITEM;código;JAPERI;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33052492;CE Almirante Tamandaré;00.859.953/0001-00;6792 - 0000001708; R$ 7.388,20 ;2021NE01415;2021NL01398;2021PD01743;2021LB17925
2;33052514;CE Barão do Rio Branco ;00.938.095/0001-99;2362 - 0000090883; R$ 4.115,20 ;2021NE01415;2021NL01398;2021PD01743;2021LB17925
3;33052433;CE Armando Dias;00.938.094/0001-44;2362 - 0000094340; R$ 4.200,00 ;2021NE01415;2021NL01398;2021PD01743;2021LB17925
4;33052530;CE Engenheiro Pedreira;01.170.625/0001-64;2362 - 0000090654; R$ 12.384,20 ;2021NE01415;2021NL01398;2021PD01743;2021LB17925
5;33052441;CE João Santos Souto;01.052.262/0001-62;2362 - 0000090611; R$ 7.404,20 ;2021NE01415;2021NL01398;2021PD01743;2021LB17925
6;33101671;CIEP 206 ProfessoraCyrene Moraes Costa ;00.960.550/0001-52;2362 - 0000090603; R$ 7.748,60 ;2021NE01415;2021NL01398;2021PD01743;2021LB17925
7;33100080;CIEP 207 Gilson Amado ;01.063.621/0001-87;6792 - 0000001651; R$ 11.026,60 ;2021NE01415;2021NL01398;2021PD01743;2021LB17925
8;33100217;CIEP 402 Aparício Torelli;00.843.200/0001-06;2362 - 0000091014; R$ 13.501,40 ;2021NE01415;2021NL01398;2021PD01743;2021LB17925
8;;JAPERI;;; R$ 67.768,40 ;;;;
ITEM;código;NOVA IGUAÇÚ;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33058709;CE Abdias Nascimento ;00.852.270/0001-20;2133 - 0000218600; R$ 10.584,60 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
2;33059152;CE Alfredo Neves ;00.911.451/0001-80;3079 - 0001062026; R$ 9.736,80 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
3;33060797;CE Ambaí;00.785.228/0001-34;0933 - 0000045250; R$ 5.424,80 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
4;33058571;CE Antonio da Silva;00.780.145/0001-52;0876 - 0000098329; R$ 15.647,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
5;33058580;CE Arruda Negreiros;00.813.976/0001-83;3402 - 0000526541; R$ 11.970,00 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
6;33060800;CE Barão de Tinguá;00.798.302/0001-57;0933 - 0000045829; R$ 15.887,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
7;33059209;CE Bernardino  Mello Junior ;01.252.863/0001-19;3402 - 0000526690; R$ 4.681,60 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
8;33058601;CE Califórnia;00.649.413/0001-00;0406 - 0001854984; R$ 6.885,40 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
9;33058946;CE Comendador Soares;00.771.489/0001-03;0876 - 0000098507; R$ 12.329,40 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
10;33142270;CE Dom Adriano Hipólito de Oliveira;05.655.735/0001-77;3402 - 0000526592; R$ 7.934,00 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
11;33058610;CE Dom Walmor;00.770.730/0001-71;0406 - 0001855166; R$ 9.141,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
12;33060819;CE dos Lírios;00.788.965/0001-90;3402 - 0000526746; R$ 4.179,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
13;33059241;CE Doutor Mário Guimarães;00.924.097/0001-29;0406 - 0001854577; R$ 9.256,60 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
14;33058636;CE Engenheiro Arêa Leão;00.667.082/0001-22;0406 - 0001854909; R$ 19.243,40 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
15;33060827;CE Figueira ;00.772.025/0001-03;0933 - 0000045101; R$ 9.232,60 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
16;33058652;CE Francisco Assumpção;00.824.350/0001-72;3402 - 0000526614; R$ 8.114,40 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
17;33058679;CE Jardim Alvorada ;00.670.405/0001-37;0406 - 0001854810; R$ 15.317,20 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
18;33060835;CE Jardim Marilice;00.852.330/0001-05;3079 - 0001212125; R$ 4.128,80 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
19;33058687;CE José Bonifácio;00.868.479/0001-82;2163 - 0000030120; R$ 6.018,00 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
20;33059284;CE Leopoldo Machado;00.738.414/0001-12;3079 - 0001062115; R$ 5.126,80 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
21;33060738;CE Marechal Juarez Távora ;00.800.337/0001-83;3079 - 0001061895; R$ 11.065,80 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
22;33060843;CE Maria Emília do Amaral Fontoura ;00.791.538/0001-61;3402 - 0000526550; R$ 12.769,40 ;2021NE01417;2021NL01401;2021PD01745;2021LB17926
